Admissions;Time;PM10;SO2;NO2;CO;O3;Tmax;Tmaxm12;Tave;Tmin;RH;RHm01;RHm12;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday;Carn;Tirad;Corpus;Indep;Penha
17;1;21,01142857;10,14900756;16,49261406;633,6437041;31,29681434;31,15;NA;26,23;22,95;81,405;NA;NA;0;0;0;0;1;0;0;0;0;0;0
15;2;23,17571429;10,54819707;23,89750783;743,7538445;34,628125;27,25;NA;23,61;21,05;92,8;87,1025;NA;0;0;0;0;0;1;0;0;0;0;0
21;3;33,34714286;12,7590482;26,10130055;918,3212909;25,14052172;29,2;29,2;25,67;22,7;83,14;87,97;87,1025;0;0;0;0;0;0;0;0;0;0;0
14;4;25,84;10,89890957;20,85910572;679,1253014;33,19479167;28,85;28,225;25,55;22,4;82,845;82,9925;87,97;1;0;0;0;0;0;0;0;0;0;0
24;5;33,18714286;12,47362359;20,30856614;837,2187851;31,35833333;30,2;29,025;26,15;22,8;79,105;80,975;82,9925;0;1;0;0;0;0;0;0;0;0;0
28;6;32,85857143;12,95471792;19,94844787;845,2058848;27,39895833;30,15;29,525;26,1;22,45;78,945;79,025;80,975;0;0;1;0;0;0;0;0;0;0;0
7;7;31,00142857;10,49877802;20,48720071;769,3198496;27,02534851;31,35;30,175;26,2;22,85;78,565;78,755;79,025;0;0;0;1;0;0;0;0;0;0;0
23;8;35,52857143;10,58015201;17,92809378;653,2018803;32,26145833;31,35;30,75;26,89;22,6;77,945;78,255;78,755;0;0;0;0;1;0;0;0;0;0;0
17;9;28,99714286;10,58038739;12,10514187;670,5024249;34,07604167;31,8;31,35;27,23;23,9;76,515;77,23;78,255;0;0;0;0;0;1;0;0;0;0;0
31;10;40,33;13,31991926;15,4908879;867,6679644;30,84162923;33,5;31,575;27,97;24,29;73,02;74,7675;77,23;0;0;0;0;0;0;0;0;0;0;0
12;11;43,76285714;13,27326658;24,41761111;985,5173229;28,61458333;33,75;32,65;27,75;24,35;78,78;75,9;74,7675;1;0;0;0;0;0;0;0;0;0;0
26;12;37,05142857;12,58923053;40,32268154;1256,850973;33,44375;27,225;33,625;24,4;22,7;93,035;85,9075;75,9;0;1;0;0;0;0;0;0;0;0;0
10;13;27,12285714;13,37199942;31,78074924;1029,242929;30,68645833;25,95;30,4875;23,5;21,85;84,97;89,0025;85,9075;0;0;1;0;0;0;0;0;0;0;0
17;14;35,63857143;13,61300977;36,52211013;1015,66363;31,50458333;28,24;26,5875;24,6;21,75;86,385;85,6775;89,0025;0;0;0;1;0;0;0;0;0;0;0
11;15;31,52428571;11,95997767;18,83470243;776,1706909;44,42916667;30,6;27,095;26,4;23,75;85,045;85,715;85,6775;0;0;0;0;1;0;0;0;0;0;0
17;16;32,62285714;12,10294787;10,81340493;831,1192108;38,41875;31,25;29,42;26,81;23,95;80,74;82,8925;85,715;0;0;0;0;0;1;0;0;0;0;0
11;17;36,02428571;13,78619459;17,34211916;830,0072056;27,70553151;30,05;30,925;26,56;24,7;79,28;80,01;82,8925;0;0;0;0;0;0;0;0;0;0;0
15;18;31,03285714;13,50108506;17,44295513;1004,769358;29,0578125;30,51;30,65;26,69;24,6;80,23;79,755;80,01;1;0;0;0;0;0;0;0;0;0;0
10;19;38,45857143;14,08154227;19,12096599;908,2038896;31,47395833;32,7;30,28;27,27;23,15;74,55;77,39;79,755;0;1;0;0;0;0;0;0;0;0;0
15;20;43,67571429;14,58686236;18,28067367;924,348549;32,36697917;33,95;31,605;28,05;23,9;72,985;73,7675;77,39;0;0;1;0;0;0;0;0;0;0;0
3;21;53,86;17,34896734;27,58339656;1106,879125;28,23645833;34,05;33,325;28,6;24,715;72,22;72,6025;73,7675;0;0;0;1;0;0;0;0;0;0;0
10;22;42,72428571;14,43813708;25,29650664;692,4155943;38,43125;31,6;34;28,01;24,7;78,645;75,4325;72,6025;0;0;0;0;1;0;0;0;0;0;0
4;23;35,23571429;13,69773546;23,88907339;700,8039515;61,86458333;31,25;32,825;27,07;23,7;83,475;81,06;75,4325;0;0;0;0;0;1;0;0;0;0;0
18;24;29,97285714;12,62688697;20,8376804;716,1491859;31,77226177;30,35;31,425;27,03;24,8;85,28;84,3775;81,06;0;0;0;0;0;0;0;0;0;0;0
9;25;35,31857143;13,23157829;19,6503967;784,5406853;32,77916667;35,35;30,8;28,91;25;77,025;81,1525;84,3775;1;0;0;0;0;0;0;0;0;0;0
6;26;31,99285714;11,64195317;22,59545463;801,9878742;34,16979167;30,55;32,85;25,96;23;86,48;81,7525;81,1525;0;1;0;0;0;0;0;0;0;0;0
15;27;20,21571429;10,91907488;23,33991973;744,1724542;27,17708333;24,28;32,95;22,72;21,05;93,235;89,8575;81,7525;0;0;1;0;0;0;0;0;0;0;0
13;28;22,65857143;11,70753747;22,97434534;862,0582821;24,825;27,05;27,415;22,76;20,75;90,925;92,08;89,8575;0;0;0;1;0;0;0;0;0;0;0
20;29;35,46714286;13,15337696;20,12020718;671,1027997;26,09583333;28,6;25,665;24,79;21,65;80,66;85,7925;92,08;0;0;0;0;1;0;0;0;0;0;0
13;30;30,08571429;12,65054957;15,87300153;727,7004745;30,20416667;31,15;27,825;25,81;22,5;78,97;79,815;85,7925;0;0;0;0;0;1;0;0;0;0;0
10;31;16,80857143;12,4279825;25,44739527;997,3103649;20,5571875;25,25;29,875;23,12;21,9;95,265;87,1175;79,815;0;0;0;0;0;0;0;0;0;0;0
1;32;25,36428571;13,29782087;27,78512888;1031,163782;22,61529797;27,55;28,2;24,04;21,8;92,365;93,815;87,1175;1;0;0;0;0;0;0;0;0;0;0
12;33;35,09857143;15,75128262;19,50638251;850,2325275;22,09479167;29,75;26,4;25,76;21,85;87,9;90,1325;93,815;0;1;0;0;0;0;0;0;0;0;0
11;34;37,23142857;13,91161962;20,28060509;776,1624575;22,97864583;31,25;28,65;26,76;23,5;80,115;84,0075;90,1325;0;0;1;0;0;0;0;0;0;0;0
11;35;40,71857143;18,09578474;29,18287512;1024,843718;29,46041667;30,8;30,5;26,7;22,05;80,525;80,32;84,0075;0;0;0;1;0;0;0;0;0;0;0
13;36;19,90428571;11,40095767;16,63013231;675,6484087;26,29166667;27,3;31,025;25,14;23,7;87,255;83,89;80,32;0;0;0;0;1;0;0;0;0;0;0
14;37;15,28571429;10,08215049;10,46505598;545,209358;27,25;24,65;29,05;23,18;22;89,48;88,3675;83,89;0;0;0;0;0;1;0;0;0;0;0
37;38;24,04857143;11,00226725;13,6629644;682,600186;33,06145833;27,6;25,975;23,98;20,8;72;80,74;88,3675;0;0;0;0;0;0;0;0;0;0;0
17;39;18,43428571;10,95013927;14,49485013;539,1321349;32,65520833;26,3;26,125;22,95;20,5;80,965;76,4825;80,74;1;0;0;0;0;0;1;0;0;0;0
18;40;25,61285714;12,33060414;18,6054421;668,2485323;24,63760528;28,1;26,95;23,84;20,25;77,89;79,4275;76,4825;0;1;0;0;0;0;0;0;0;0;0
21;41;35,97142857;12,2766033;24,55621621;916,1111845;22,62395833;28,55;27,2;24;20,7;76,695;77,2925;79,4275;0;0;1;0;0;0;0;0;0;0;0
20;42;37,13142857;12,1519686;21,03773361;740,5945324;23,52333333;30,2;28,325;25,08;19,7;79,83;78,2625;77,2925;0;0;0;1;0;0;0;0;0;0;0
14;43;29,13571429;10,14936022;17,62984284;732,8960858;34,0625;31,35;29,375;26,49;23,1;81,78;80,805;78,2625;0;0;0;0;1;0;0;0;0;0;0
22;44;15,37571429;11,22699506;15,76536243;737,5320802;37,303125;30,35;30,775;24,56;21,85;90,515;86,1475;80,805;0;0;0;0;0;1;0;0;0;0;0
14;45;33,33142857;12,17320856;32,04449565;1085,917098;39,86926061;28,05;30,85;24,38;21,1;88,605;89,56;86,1475;0;0;0;0;0;0;0;0;0;0;0
14;46;39,06571429;13,65722894;35,00669386;1133,452876;38,0428125;30,05;29,2;25,3;22,3;87,14;87,8725;89,56;1;0;0;0;0;0;0;0;0;0;0
15;47;32,96142857;12,76381888;29,94474024;929,8542063;37,25854167;29,7;29,05;26,26;23,6;86,99;87,065;87,8725;0;1;0;0;0;0;0;0;0;0;0
12;48;26,53142857;12,84904185;27,6328874;1069,550478;29,11229167;28,695;29,875;24,85;22,95;93,89;90,44;87,065;0;0;1;0;0;0;0;0;0;0;0
20;49;22,52428571;11,02089551;18,81599708;807,3647307;29,41979167;29,6;29,1975;25,35;22,4;87,695;90,7925;90,44;0;0;0;1;0;0;0;0;0;0;0
21;50;16,72428571;10,33283189;21,48059962;912,8442452;21,94166667;27,1;29,1475;24,07;23;94,02;90,8575;90,7925;0;0;0;0;1;0;0;0;0;0;0
19;51;21,67571429;9,852915302;16,11767523;652,62339;32,47489299;28,5;28,35;24,47;22,65564803;93,425;93,7225;90,8575;0;0;0;0;0;1;0;0;0;0;0
18;52;31,75285714;14,75817647;24,20097493;923,1641577;28,80104167;28,9;27,8;24,78;20,65;78,865;86,145;93,7225;0;0;0;0;0;0;0;0;0;0;0
23;53;33,46428571;15,3966084;28,52730605;843,7401568;25,95;29,35;28,7;24,94;20,6;79,555;79,21;86,145;1;0;0;0;0;0;0;0;0;0;0
21;54;35,97571429;14,42469776;24,02002551;785,3214327;32,23958333;32,9;29,125;26,86;22,55;81,475;80,515;79,21;0;1;0;0;0;0;0;0;0;0;0
20;55;42,67;16,32958077;23,00936691;997,0182794;25,69375;33,55;31,125;27,92;23,65;80,74;81,1075;80,515;0;0;1;0;0;0;0;0;0;0;0
21;56;46,87571429;14,93432087;22,68605822;944,430963;23,14681618;33,75;33,225;28,08;24,45;82,085;81,4125;81,1075;0;0;0;1;0;0;0;0;0;0;0
35;57;56,11714286;15,99054685;22,33469633;990,7364138;24,63958333;35;33,65;28,89;25,35;81,77;81,9275;81,4125;0;0;0;0;1;0;0;0;0;0;0
24;58;35,62428571;14,13617314;22,3243008;1137,56268;37,94895833;35,9;34,375;28,87;23,75;77,685;79,7275;81,9275;0;0;0;0;0;1;0;0;0;0;0
25;59;34,76142857;14,72391956;34,65091236;1415,245468;26,26166667;32,405;35,45;26,45;23,55;90,51;84,0975;79,7275;0;0;0;0;0;0;0;0;0;0;0
20;60;24,42142857;9,76619957;32,42357272;1165,61676;32,871875;29,65;34,1525;25,08;23;93,63;92,07;84,0975;1;0;0;0;0;0;0;0;0;0;0
35;61;23,86285714;10,33869491;28,3061359;887,2667393;24,01770833;27;31,0275;23,86;20,7;92,16;92,895;92,07;0;1;0;0;0;0;0;0;0;0;0
26;62;22,09;11,8221991;30,40725354;1211,184142;22,5475;25,51;28,325;22,75;20,8;93,84;93;92,895;0;0;1;0;0;0;0;0;0;0;0
30;63;17,64;10,89190936;25,47076438;929,0308861;20,41361069;24,35;26,255;22,59;21,05;93,715;93,7775;93;0;0;0;1;0;0;0;0;0;0;0
33;64;25,94571429;11,84807106;28,73367954;1275,228302;19,26913654;27,5;24,93;23,56;21,95;91,93;92,8225;93,7775;0;0;0;0;1;0;0;0;0;0;0
18;65;28,08857143;11,95130205;25,32222276;1079,184832;30,16594837;27,4;25,925;24,17;22,2;91,78;91,855;92,8225;0;0;0;0;0;1;0;0;0;0;0
27;66;27,38142857;13,29106488;32,23109926;1166,500781;22,98420846;27,55;27,45;23,85;22,05;93,785;92,7825;91,855;0;0;0;0;0;0;0;0;0;0;0
27;67;29,42428571;13,46628701;23,45298334;889,3895021;21,17784502;30,2;27,475;25,72;22,05;86,945;90,365;92,7825;1;0;0;0;0;0;0;0;0;0;0
37;68;36,02857143;18,65123322;25,06212524;891,6396178;20,59166667;30,25;28,875;26,47;22,65;83,27;85,1075;90,365;0;1;0;0;0;0;0;0;0;0;0
39;69;34,34857143;14,31647604;19,93867661;1061,892305;21,22395833;33,65;30,225;27,86;23,55;81,405;82,3375;85,1075;0;0;1;0;0;0;0;0;0;0;0
25;70;37,17571429;13,54633297;24,07745862;856,6956432;20,81979167;32;31,95;26,85;24,05;85,47;83,4375;82,3375;0;0;0;1;0;0;0;0;0;0;0
43;71;41,21714286;15,27452274;30,9609975;861,3160918;37,1875;31,4;32,825;26,66;22,6;82,71;84,09;83,4375;0;0;0;0;1;0;0;0;0;0;0
38;72;39,45;14,67658712;23,33981869;1018,472841;40,396875;30,9;31,7;26,51;22,5;85,49;84,1;84,09;0;0;0;0;0;1;0;0;0;0;0
50;73;37,01714286;14,43408374;16,44465138;899,8730012;24,96458333;32,1;31,15;27,28;23,95;82,405;83,9475;84,1;0;0;0;0;0;0;0;0;0;0;0
42;74;35,95;13,39264606;16,54415286;761,7077017;26,56041667;32,3;31,5;27,64;24,8;80,54;81,4725;83,9475;1;0;0;0;0;0;0;0;0;0;0
22;75;32,88428571;15,11803809;17,74020653;905,6355511;24,3078125;32,31;32,2;27,65;24,2;79,98;80,26;81,4725;0;1;0;0;0;0;0;0;0;0;0
46;76;34,45;13,59628724;19,55853695;752,097558;24,671875;32,25;32,305;27,17;23,45;79,835;79,9075;80,26;0;0;1;0;0;0;0;0;0;0;0
35;77;36,08714286;16,43863014;20,56988389;821,2331808;25,97395833;32,7;32,28;27,52;23,95;78,99;79,4125;79,9075;0;0;0;1;0;0;0;0;0;0;0
34;78;33,34428571;15,81931796;18,11384318;943,0283611;27,225;33,65;32,475;27,86;25,05;79,035;79,0125;79,4125;0;0;0;0;1;0;0;0;0;0;0
38;79;27,96;14,19518591;18,29123045;701,3730944;27,01354167;31,75;33,175;27,13;24,1;82,585;80,81;79,0125;0;0;0;0;0;1;0;0;0;0;0
28;80;29,19714286;12,65728305;19,8479256;688,2394876;25,07518078;31,8;32,7;27,05;23,15;81,655;82,12;80,81;0;0;0;0;0;0;0;0;0;0;0
32;81;29,42714286;14,66014152;21,77054998;864,2346289;18,33541667;30,65;31,775;26,48;22,6;84,005;82,83;82,12;1;0;0;0;0;0;0;0;0;0;0
26;82;27,76142857;12,82567537;19,12102956;732,7741394;19,42395833;32,25;31,225;27,16;23,2;82,27;83,1375;82,83;0;1;0;0;0;0;0;0;0;0;0
59;83;32,06;15,19934195;17,62984132;840,892497;18,75647486;31,75;31,45;27,17;23,2;79,365;80,8175;83,1375;0;0;1;0;0;0;0;0;0;0;0
35;84;21,49;10,99668325;13,17469834;528,0634845;35,83541667;31,75;32;26,51;23,7;81,575;80,47;80,8175;0;0;0;1;0;0;0;0;0;0;0
